District,PropertyType,Rooms,Furnished,Shareable,PetsAllowed,Elevator,SeniorFriendly,StudentOnly,Balcony,Parking,Size,Floor,RentalPeriod,AvailableFrom,MonthlyNetRent,Utilities,Deposit,PrepaidRent,MoveInPrice
"Møllebakken,3400 Hillerød",Apartment,2,False,False,False,False,False,False,False,True,58,-1,,As soon as possible,7100,900,21300,0,29300
"Mosevangen,8660 Skanderborg",Apartment,3,False,False,False,False,False,False,True,True,82,1,,As soon as possible,7200,750,21600,21600,51150
"Dannebrogsgade,9000 Aalborg",Apartment,2,False,False,False,False,False,False,False,False,48,1,,1 November 2021,4995,500,14985,0,20480
"Kastetvej,9000 Aalborg",Apartment,2,False,False,False,False,False,False,False,False,56,1,,1 December 2021,5695,550,17085,0,23330
"Bredegade,4200 Slagelse",Apartment,2,False,True,False,False,False,False,False,False,57,0,,As soon as possible,7125,650,21375,7125,36275
"Sallinggade,7800 Skive",Apartment,3,False,True,False,False,False,False,True,True,102,0,,As soon as possible,5975,725,17925,0,24625
"Sallinggade,7800 Skive",Apartment,2,False,False,False,False,False,False,True,True,73,0,,1 October 2021,4750,450,14250,0,19450
"Halsskovvej,4220 Korsør",Apartment,4,False,True,False,False,False,False,False,False,83,0,,As soon as possible,7350,850,22050,0,30250
"Storegade,6560 Sommersted",Apartment,2,False,False,False,False,False,False,True,True,49,0,,As soon as possible,2950,750,5900,0,9600
"Hammersvej,3480 Fredensborg",House,6,False,True,True,False,False,False,False,False,159,0,,As soon as possible,12500,1000,25000,12500,51000
"Nørregade,8700 Horsens",Apartment,2,False,False,False,True,False,False,False,False,86,0,,As soon as possible,6750,700,20250,0,27700
"Skolegade,7500 Holstebro",Apartment,2,False,False,False,False,False,False,False,False,54,1,,1 December 2021,4500,700,13500,0,18700
"Schacksgade,5000 Odense",Apartment,2,False,False,False,False,False,False,False,False,57,2,,As soon as possible,5995,750,17985,5995,30725
"Møllergade,5700 Svendborg",Room,1,False,False,False,False,False,False,True,False,40,0,,As soon as possible,3109,299,9327,0,12735
"Østergade,8000 Aarhus",Apartment,3,False,True,False,False,False,False,False,False,56,2,,1 December 2021,8500,625,25500,25500,60125
"Carit Etlars Vej,8230 Aarhus",Apartment,1,True,False,False,False,False,False,False,False,40,0,,As soon as possible,6200,0,18600,6200,31000
"blegaardsgade,7100 Vejle",Apartment,2,False,False,False,False,False,False,False,False,50,0,,As soon as possible,4900,800,7000,0,12700
"Schleppegrellsgade,9000 Aalborg",Apartment,3,False,True,False,False,False,False,False,False,70,4,,As soon as possible,5400,600,16200,6000,28200
"Schleppegrellsgade,9000 Aalborg",Apartment,3,False,True,False,False,False,False,False,False,70,4,,As soon as possible,5400,600,16200,6000,28200
"Energivej,8420 Knebel",House,6,False,True,False,False,False,False,True,True,179,0,,1 November 2021,12000,0,36000,36000,84000
"Irmavej,2610 Rødovre",Apartment,4,False,True,False,True,False,False,True,False,103,2,,As soon as possible,13400,1000,40200,13400,68000
"Bøjestræde,5600 Faaborg",Apartment,2,False,False,False,False,False,False,False,False,49,1,,As soon as possible,3000,500,8700,0,12200
"Sankt Peders Gade,9400 Aalborg",Apartment,3,False,True,False,False,False,False,False,False,82,1,,As soon as possible,5800,800,11600,0,18200
"Mølletoften,8940 Randers",Apartment,4,False,False,False,False,False,False,True,True,103,3,,As soon as possible,6300,500,6300,6300,19400
"Købmagergade,1150 København",Apartment,3,False,True,True,False,False,False,True,False,92,0,,1 January 2022,16400,1100,49200,16400,83100
"Niels Juels Gade,8200 Aarhus",Apartment,5,False,True,False,False,False,False,False,False,124,2,,1 December 2021,13000,1500,39000,39000,92500
"Niels Ebbesens Gade,8900 Randers",Apartment,3,False,False,True,False,False,False,False,False,83,1,,As soon as possible,5000,900,15000,0,20900
"Svanevej,2400 København",Apartment,3,False,False,False,True,False,False,True,False,81,0,,1 December 2021,13300,1000,39900,0,54200
"Brassøvej,8240 Aarhus",Apartment,2,False,True,True,True,True,False,True,True,61,2,,1 December 2021,8000,800,24000,8000,40800
"Brassøvej,8240 Aarhus",Apartment,2,False,True,True,True,True,False,True,True,61,2,,1 November 2021,8000,800,24000,8000,40800
"Brassøvej,8240 Aarhus",Apartment,2,False,True,True,True,True,False,True,True,61,2,,As soon as possible,8000,800,24000,8000,40800
"Brassøvej,8240 Aarhus",Apartment,2,False,True,True,True,True,False,True,True,61,2,,15 October 2021,8000,800,24000,8000,40800
"Vestergade,9400 Aalborg",Apartment,2,False,True,True,False,False,False,False,True,60,0,,As soon as possible,5300,500,15900,5300,27000
"Krbg Ladegårds Vej,3000 Helsingør",Apartment,2,False,False,False,False,False,False,False,False,50,-1,,1 November 2021,7000,1500,21000,0,29500
"Rådhustorvet,8900 Randers",Apartment,2,False,False,True,False,False,False,True,False,59,3,,1 November 2021,4950,0,14850,4950,24750
"Priorgade,9000 Aalborg",Apartment,2,False,False,False,False,False,False,True,False,47,2,,As soon as possible,5199,500,15597,0,21296
"Teglværksgade,8000 Aarhus",Apartment,1,False,False,False,False,False,False,False,False,38,5,,As soon as possible,5700,400,17100,17100,40300
"H.   C.   Andersens Vej,9000 Aalborg",Apartment,2,False,True,False,False,True,False,False,True,69,0,,1 October 2021,5825,400,17475,5825,29525
"Nørreport,8000 Aarhus",Apartment,3,True,True,False,False,False,False,False,False,87,0,,1 April 2022,11000,0,11000,0,22000
"Christiansgade,9000 Aalborg",Apartment,2,False,False,False,False,False,False,False,False,51,0,,As soon as possible,4875,800,14625,0,20300
"Chrst Boecksvej,3480 Fredensborg",Apartment,3,False,True,False,False,True,False,True,True,72,1,,1 November 2021,10995,580,32985,32985,77545
"Nordfeldvej,2665 Vallensbæk Strand",Apartment,2,False,False,False,False,False,False,False,False,49,0,,1 December 2021,5000,0,10000,0,15000
"Østerbæksvej,5230 Odense",Apartment,3,False,False,False,False,False,False,True,True,70,1,,As soon as possible,6000,450,18000,0,24450
"Jernbanegade,5550 Langeskov",Apartment,2,False,False,False,False,False,False,False,False,53,0,,15 November 2021,4725,1100,14175,0,20000
"Store Kongensgade,1264 København",Apartment,1,False,False,False,True,False,False,True,False,32,4,,As soon as possible,10100,300,20200,10100,40700
"Store Kongensgade,1264 København",Apartment,1,False,False,False,True,False,False,True,False,32,2,,As soon as possible,9950,300,19900,9950,40100
"Reventlowsvej,5000 Odense",Apartment,3,False,True,False,False,False,False,False,False,85,4,,As soon as possible,6895,400,20685,0,27980
"Købmagergade,7000 Fredericia",Apartment,3,False,True,False,False,False,False,False,False,107,1,,As soon as possible,5800,700,17400,2100,26000
